source_relative_path,source_split,label,filename,size_bytes,reason
kermany_source/train/NORMAL/NORMAL_0000.jpeg,train,NORMAL,NORMAL_0000.jpeg,30767,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0001.jpeg,train,NORMAL,NORMAL_0001.jpeg,30729,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0002.jpeg,train,NORMAL,NORMAL_0002.jpeg,30702,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0003.jpeg,train,NORMAL,NORMAL_0003.jpeg,30709,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0004.jpeg,train,NORMAL,NORMAL_0004.jpeg,30729,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0005.jpeg,train,NORMAL,NORMAL_0005.jpeg,30685,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0006.jpeg,train,NORMAL,NORMAL_0006.jpeg,30619,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0007.jpeg,train,NORMAL,NORMAL_0007.jpeg,30750,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0008.jpeg,train,NORMAL,NORMAL_0008.jpeg,30659,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0009.jpeg,train,NORMAL,NORMAL_0009.jpeg,30792,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0010.jpeg,train,NORMAL,NORMAL_0010.jpeg,30781,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0011.jpeg,train,NORMAL,NORMAL_0011.jpeg,30740,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0012.jpeg,train,NORMAL,NORMAL_0012.jpeg,30769,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0013.jpeg,train,NORMAL,NORMAL_0013.jpeg,30714,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0014.jpeg,train,NORMAL,NORMAL_0014.jpeg,30767,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0015.jpeg,train,NORMAL,NORMAL_0015.jpeg,30747,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0016.jpeg,train,NORMAL,NORMAL_0016.jpeg,30777,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0017.jpeg,train,NORMAL,NORMAL_0017.jpeg,30719,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0018.jpeg,train,NORMAL,NORMAL_0018.jpeg,30723,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0019.jpeg,train,NORMAL,NORMAL_0019.jpeg,30749,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0020.jpeg,train,NORMAL,NORMAL_0020.jpeg,30663,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0021.jpeg,train,NORMAL,NORMAL_0021.jpeg,30743,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0022.jpeg,train,NORMAL,NORMAL_0022.jpeg,30727,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0023.jpeg,train,NORMAL,NORMAL_0023.jpeg,30757,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0024.jpeg,train,NORMAL,NORMAL_0024.jpeg,30744,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0025.jpeg,train,NORMAL,NORMAL_0025.jpeg,30788,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0026.jpeg,train,NORMAL,NORMAL_0026.jpeg,30659,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0027.jpeg,train,NORMAL,NORMAL_0027.jpeg,30774,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0028.jpeg,train,NORMAL,NORMAL_0028.jpeg,30692,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0029.jpeg,train,NORMAL,NORMAL_0029.jpeg,30704,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0030.jpeg,train,NORMAL,NORMAL_0030.jpeg,30695,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0031.jpeg,train,NORMAL,NORMAL_0031.jpeg,30777,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0032.jpeg,train,NORMAL,NORMAL_0032.jpeg,30711,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0033.jpeg,train,NORMAL,NORMAL_0033.jpeg,30740,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0034.jpeg,train,NORMAL,NORMAL_0034.jpeg,30649,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0035.jpeg,train,NORMAL,NORMAL_0035.jpeg,30691,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0036.jpeg,train,NORMAL,NORMAL_0036.jpeg,30730,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0037.jpeg,train,NORMAL,NORMAL_0037.jpeg,30765,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0038.jpeg,train,NORMAL,NORMAL_0038.jpeg,30707,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0039.jpeg,train,NORMAL,NORMAL_0039.jpeg,30792,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0040.jpeg,train,NORMAL,NORMAL_0040.jpeg,30718,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0041.jpeg,train,NORMAL,NORMAL_0041.jpeg,30720,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0042.jpeg,train,NORMAL,NORMAL_0042.jpeg,30692,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0043.jpeg,train,NORMAL,NORMAL_0043.jpeg,30687,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0044.jpeg,train,NORMAL,NORMAL_0044.jpeg,30678,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0045.jpeg,train,NORMAL,NORMAL_0045.jpeg,30758,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0046.jpeg,train,NORMAL,NORMAL_0046.jpeg,30772,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0047.jpeg,train,NORMAL,NORMAL_0047.jpeg,30786,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0048.jpeg,train,NORMAL,NORMAL_0048.jpeg,30714,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0049.jpeg,train,NORMAL,NORMAL_0049.jpeg,30712,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0050.jpeg,train,NORMAL,NORMAL_0050.jpeg,30729,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0051.jpeg,train,NORMAL,NORMAL_0051.jpeg,30737,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0052.jpeg,train,NORMAL,NORMAL_0052.jpeg,30731,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0053.jpeg,train,NORMAL,NORMAL_0053.jpeg,30745,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0054.jpeg,train,NORMAL,NORMAL_0054.jpeg,30653,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0055.jpeg,train,NORMAL,NORMAL_0055.jpeg,30710,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0056.jpeg,train,NORMAL,NORMAL_0056.jpeg,30631,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0057.jpeg,train,NORMAL,NORMAL_0057.jpeg,30778,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0058.jpeg,train,NORMAL,NORMAL_0058.jpeg,30769,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0059.jpeg,train,NORMAL,NORMAL_0059.jpeg,30757,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0060.jpeg,train,NORMAL,NORMAL_0060.jpeg,30746,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0061.jpeg,train,NORMAL,NORMAL_0061.jpeg,30698,synthetic_noise_placeholder_filename
kermany_source/train/NORMAL/NORMAL_0062.jpeg,train,NORMAL,NORMAL_0062.jpeg,30812,synthetic_noise_placeholder_filename
